Player,From,To,Years,Pos,Ht,Height,Wt,G,PTS,TRB,AST,FG%,FG3%,FT%,eFG%,PER,WS,All Star,All NBA,All ABA,All Rookie,All Defensive,BLK Champ,STL Champ,TRB Champ,AST Champ,Scoring Champ,Most Improved,Sixth Man,DPOY,ROY,AS MVP,CF MVP,Finals MVP,MVP,Championships,NBA 75 Team,ABA All-Time Team
Samardo Samuels,2011,2013,3,F,6-9,6.75,260.0,109,5.9,3.4,0.4,44.5,0.0,65.3,44.5,10.8,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pepe Sánchez,2001,2003,3,G,6-4,6.333333333333333,195.0,38,0.5,0.6,1.3,27.3,0.0,100.0,27.3,12.3,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Al Sanders,1973,1973,1,F,6-7,6.583333333333333,240.0,4,2.0,1.3,0.0,100.0,23.4,66.7,100.0,6.6,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Frankie Sanders,1979,1981,3,G-F,6-6,6.5,200.0,69,5.1,1.9,1.0,43.0,28.6,82.2,43.0,13.6,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jeff Sanders,1990,1993,4,F,6-8,6.666666666666667,225.0,55,2.0,1.9,0.5,39.5,23.4,60.9,39.5,7.1,-0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Larry Sanders,2011,2017,7,F-C,6-11,6.916666666666667,235.0,238,6.4,5.7,0.7,48.0,0.0,55.3,48.0,15.4,10.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Melvin Sanders,2006,2006,1,G-F,6-5,6.416666666666667,210.0,16,2.6,1.4,0.2,48.5,66.7,70.0,51.5,10.5,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mike Sanders,1983,1993,11,G-F,6-6,6.5,210.0,648,8.0,3.0,1.4,48.2,22.1,76.9,48.4,11.9,17.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tom Sanders*,1961,1973,13,F,6-6,6.5,210.0,916,9.6,6.3,1.1,42.8,23.4,76.7,45.3,11.9,56.5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0
Ron Sanford,1972,1972,1,F,6-9,6.75,215.0,1,0.0,0.0,0.0,41.0,23.4,67.6,45.3,-10.4,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Daniel Santiago,2001,2005,5,C,7-1,7.083333333333333,256.0,122,3.4,2.1,0.3,46.9,14.2,68.5,46.9,9.3,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bob Santini,1956,1956,1,F,6-5,6.416666666666667,190.0,4,2.8,0.8,0.3,50.0,23.4,50.0,45.3,12.7,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wayne Sappleton,1985,1985,1,F,6-9,6.75,215.0,33,2.9,2.3,0.2,47.1,23.4,41.2,47.1,7.7,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dario Šarić,2017,2021,5,F-C,6-10,6.833333333333333,225.0,356,11.7,5.9,2.0,44.1,35.7,83.8,51.7,14.0,16.4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Olivier Sarr,2022,2022,1,C,7-0,7.0,237.0,22,7.0,4.2,0.9,57.4,44.8,82.8,63.9,14.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
