Player,From,To,Years,Pos,Ht,Height,Wt,G,PTS,TRB,AST,FG%,FG3%,FT%,eFG%,PER,WS,All Star,All NBA,All ABA,All Rookie,All Defensive,BLK Champ,STL Champ,TRB Champ,AST Champ,Scoring Champ,Most Improved,Sixth Man,DPOY,ROY,AS MVP,CF MVP,Finals MVP,MVP,Championships,NBA 75 Team,ABA All-Time Team
Alaa Abdelnaby,1991,1995,5,F-C,6-10,6.833333333333333,240.0,256,5.7,3.3,0.3,50.2,0.0,70.1,50.2,13.0,4.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zaid Abdul-Aziz,1969,1978,10,F-C,6-9,6.75,235.0,505,9.0,8.0,1.2,42.8,17.7,72.8,48.4,15.1,17.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kareem Abdul-Jabbar*,1970,1989,20,C,7-2,7.166666666666667,225.0,1560,24.6,11.2,3.6,55.9,5.6,72.1,55.9,24.6,273.4,19,15,0,1,11,4,0,1,0,2,0,0,0,1,0,0,2,6,6,1,0
Mahmoud Abdul-Rauf,1991,2001,11,G,6-1,6.083333333333333,162.0,586,14.6,1.9,3.5,44.2,35.4,90.5,47.2,15.4,25.2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Tariq Abdul-Wahad,1998,2003,6,F,6-6,6.5,223.0,236,7.8,3.3,1.1,41.7,23.7,70.3,42.2,11.4,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shareef Abdur-Rahim,1997,2008,12,F,6-9,6.75,225.0,830,18.1,7.5,2.5,47.2,29.7,81.0,47.9,19.0,71.2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tom Abernethy,1977,1981,5,F,6-7,6.583333333333333,220.0,319,5.6,3.2,1.2,49.2,0.0,74.7,49.2,12.9,13.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Forest Able,1957,1957,1,G,6-3,6.25,180.0,1,0.0,1.0,1.0,0.0,27.9,73.7,44.1,-41.5,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
John Abramovic,1947,1948,2,F,6-3,6.25,195.0,56,9.5,3.0,0.7,23.7,23.4,68.6,45.3,10.9,-1.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Álex Abrines,2017,2019,3,G-F,6-6,6.5,200.0,174,5.3,1.4,0.5,38.7,36.8,88.0,52.5,8.8,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Precious Achiuwa,2021,2022,2,F,6-8,6.666666666666667,225.0,134,7.2,5.1,0.8,46.8,35.7,55.6,50.2,13.1,3.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alex Acker,2006,2009,4,G,6-5,6.416666666666667,185.0,30,2.7,1.0,0.5,37.0,32.0,50.0,41.3,8.5,-0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Don Ackerman,1954,1954,1,G,6-0,6.0,183.0,28,1.5,0.5,0.8,22.2,27.9,53.6,44.1,1.0,-0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mark Acres,1988,1993,6,F-C,6-11,6.916666666666667,220.0,375,3.6,4.1,0.5,50.6,53.8,66.5,50.9,9.0,9.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bud Acton,1968,1968,1,F,6-6,6.5,210.0,23,3.3,2.0,0.5,39.2,23.4,65.5,45.3,9.5,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Quincy Acy,2013,2019,7,F-C,6-7,6.583333333333333,240.0,337,4.9,3.5,0.6,44.4,35.0,75.9,51.3,11.2,8.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alvan Adams,1976,1988,13,F-C,6-9,6.75,210.0,988,14.1,7.0,4.1,49.8,13.3,78.8,49.8,18.3,73.5,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Don Adams,1971,1977,7,F,6-6,6.5,210.0,523,8.8,5.6,1.9,40.2,0.0,74.1,40.2,10.7,11.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
George Adams,1973,1975,3,G-F,6-5,6.416666666666667,210.0,215,7.7,4.1,1.5,49.7,23.5,79.4,49.9,14.0,6.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hassan Adams,2007,2009,3,G,6-4,6.333333333333333,220.0,73,2.5,1.2,0.2,53.4,0.0,64.3,53.4,11.8,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jaylen Adams,2019,2021,3,G,6-0,6.0,225.0,41,2.7,1.5,1.6,33.1,32.9,77.8,43.6,7.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jordan Adams,2015,2016,2,G,6-5,6.416666666666667,209.0,32,3.2,0.9,0.6,40.2,38.5,60.7,45.7,13.1,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Michael Adams,1986,1996,11,G,5-10,5.833333333333333,162.0,653,14.7,2.9,6.4,41.5,33.2,84.9,47.5,16.6,46.9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Steven Adams,2014,2022,9,C,6-11,6.916666666666667,265.0,664,9.3,8.0,1.5,58.7,7.1,54.7,58.7,17.0,56.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rafael Addison,1987,1997,11,G-F,6-7,6.583333333333333,215.0,379,5.8,2.1,0.9,44.9,28.2,77.2,46.6,10.5,4.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bam Adebayo,2018,2022,5,F-C,6-9,6.75,255.0,343,13.5,8.3,3.5,55.8,14.0,74.1,55.9,20.0,35.4,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Deng Adel,2019,2019,1,F,6-7,6.583333333333333,200.0,19,1.7,1.0,0.3,30.6,26.1,100.0,38.9,2.7,-0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rick Adelman* ,1969,1975,7,G,6-1,6.083333333333333,175.0,462,7.7,2.4,3.5,41.5,27.9,71.3,44.1,11.3,10.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jeff Adrien,2011,2015,5,F,6-7,6.583333333333333,245.0,153,4.6,4.3,0.7,47.4,0.0,62.8,47.4,15.0,4.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arron Afflalo,2008,2018,11,G-F,6-5,6.416666666666667,210.0,762,10.8,2.9,1.8,45.0,38.6,82.5,51.4,11.9,33.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maurice Ager,2007,2011,5,G,6-5,6.416666666666667,202.0,82,2.1,0.6,0.2,33.9,25.0,56.6,36.8,2.8,-0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mark Aguirre,1982,1994,13,G-F,6-6,6.5,232.0,923,20.0,5.0,3.1,48.4,31.2,74.1,49.8,19.0,67.8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
Blake Ahearn,2008,2012,5,G,6-2,6.166666666666667,190.0,19,4.6,1.2,1.2,27.3,29.8,97.0,36.4,7.2,-0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Danny Ainge,1982,1995,14,G,6-4,6.333333333333333,175.0,1042,11.5,2.7,4.0,46.9,37.8,84.6,51.9,14.7,71.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
Matthew Aitch,1968,1968,1,F,6-7,6.583333333333333,230.0,45,5.6,3.6,0.4,40.5,0.0,67.5,40.5,11.9,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alexis Ajinça,2009,2017,9,F-C,7-2,7.166666666666667,248.0,293,5.3,3.9,0.5,50.3,28.6,79.7,50.7,14.9,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Henry Akin,1967,1969,3,F-C,6-10,6.833333333333333,225.0,88,3.5,2.1,0.5,35.0,0.0,67.6,35.0,7.4,-1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Josh Akognon,2013,2013,1,G,5-11,5.916666666666667,185.0,3,1.7,0.3,0.3,50.0,50.0,73.7,62.5,15.3,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DeVaughn Akoon-Purcell,2019,2019,1,G,6-6,6.5,200.0,7,1.0,0.6,0.9,30.0,0.0,50.0,30.0,8.2,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Solomon Alabi,2011,2012,2,C,7-1,7.083333333333333,251.0,26,1.5,2.3,0.2,31.4,14.2,70.0,31.4,10.3,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mark Alarie,1987,1991,5,F,6-8,6.666666666666667,217.0,325,7.5,3.4,1.1,47.5,25.2,77.5,48.3,13.0,8.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gary Alcorn,1960,1961,2,C,6-9,6.75,225.0,78,3.3,4.2,0.3,29.3,14.2,59.8,45.9,6.5,-1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Santi Aldama,2022,2022,1,F,6-11,6.916666666666667,224.0,32,4.1,2.7,0.7,40.2,12.5,62.5,42.4,10.2,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Furkan Aldemir,2015,2015,1,F-C,6-10,6.833333333333333,240.0,41,2.3,4.3,0.7,51.3,0.0,48.1,51.3,12.0,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cole Aldrich,2011,2018,8,C,6-11,6.916666666666667,250.0,339,3.1,3.3,0.5,52.7,14.2,73.8,52.7,16.6,9.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LaMarcus Aldridge,2007,2022,16,F-C,6-11,6.916666666666667,250.0,1076,19.1,8.1,1.9,49.3,32.0,81.3,49.9,20.7,115.7,7,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chuck Aleksinas,1985,1985,1,C,6-11,6.916666666666667,260.0,74,5.1,3.6,0.5,47.8,0.0,73.3,47.8,9.1,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cliff Alexander,2016,2016,1,F,6-8,6.666666666666667,245.0,8,1.3,0.8,0.0,50.0,23.4,67.6,50.0,11.6,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cory Alexander,1996,2005,10,G,6-1,6.083333333333333,185.0,307,5.5,1.6,2.7,38.9,35.4,75.6,46.8,12.4,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Courtney Alexander,2001,2003,3,G,6-5,6.416666666666667,205.0,187,9.0,2.2,1.2,42.2,33.9,81.3,43.5,11.5,4.1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gary Alexander,1994,1994,1,F,6-7,6.583333333333333,240.0,11,1.7,1.4,0.2,57.1,23.4,33.3,57.1,8.6,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Joe Alexander,2009,2010,2,F,6-8,6.666666666666667,230.0,67,4.2,1.8,0.7,41.0,34.0,69.8,44.2,9.9,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kyle Alexander,2020,2020,1,F,6-11,6.916666666666667,220.0,2,1.0,1.5,0.0,50.0,23.4,67.6,50.0,4.7,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ty-Shon Alexander,2021,2021,1,G,6-3,6.25,195.0,15,0.6,0.7,0.4,25.0,22.2,50.0,33.3,4.2,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Victor Alexander,1992,2002,11,F-C,6-9,6.75,265.0,286,8.9,4.8,0.9,51.8,28.6,63.4,52.2,13.7,8.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nickeil Alexander-Walker,2020,2022,3,G,6-6,6.5,205.0,158,9.3,2.6,2.2,38.7,32.9,72.6,46.8,10.9,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Steve Alford,1988,1991,4,G,6-2,6.166666666666667,183.0,169,4.4,0.9,1.0,45.9,32.4,87.0,48.7,14.4,3.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rawle Alkins,2019,2019,1,G,6-5,6.416666666666667,225.0,10,3.7,2.6,1.3,33.3,25.0,66.7,37.2,8.1,-0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bill Allen,1968,1968,1,F-C,6-8,6.666666666666667,205.0,38,7.9,7.1,0.6,42.9,100.0,58.6,43.2,11.9,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bob Allen,1969,1969,1,F,6-9,6.75,205.0,27,1.8,2.1,0.4,32.6,23.4,55.6,45.3,6.8,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grayson Allen,2019,2022,4,G,6-4,6.333333333333333,198.0,192,9.4,2.6,1.5,43.3,39.3,84.1,55.9,12.1,8.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jarrett Allen,2018,2022,5,F-C,6-11,6.916666666666667,243.0,341,11.6,8.7,1.4,62.6,18.9,69.9,63.0,20.0,34.9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jerome Allen,1996,1997,2,G,6-4,6.333333333333333,184.0,117,2.9,1.1,1.7,35.0,31.7,63.0,41.1,8.5,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kadeem Allen,2018,2020,3,G,6-1,6.083333333333333,200.0,47,5.5,1.5,2.3,43.5,34.9,75.7,48.8,13.5,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lavoy Allen,2012,2017,6,F-C,6-9,6.75,260.0,388,4.8,4.8,1.0,47.1,13.3,68.2,47.2,12.5,13.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lucius Allen,1970,1979,10,G,6-2,6.166666666666667,175.0,702,13.4,3.1,4.5,46.3,27.9,76.0,44.1,15.5,42.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Malik Allen,2002,2011,10,F-C,6-10,6.833333333333333,255.0,478,4.9,2.8,0.5,43.9,18.8,77.8,44.0,9.9,6.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Randy Allen,1989,1990,2,F,6-8,6.666666666666667,220.0,70,3.6,2.1,0.3,44.2,0.0,53.3,44.2,8.3,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ray Allen*,1997,2014,18,G,6-5,6.416666666666667,205.0,1300,18.9,4.1,3.4,45.2,40.0,89.4,53.0,18.6,145.1,10,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0
Tony Allen,2005,2018,14,G-F,6-4,6.333333333333333,213.0,820,8.1,3.5,1.3,47.5,28.2,70.9,48.7,14.2,38.7,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Willie Allen,1972,1972,1,F,6-6,6.5,230.0,7,1.9,2.0,0.6,30.8,23.4,83.3,30.8,5.7,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Odis Allison,1972,1972,1,F,6-6,6.5,195.0,36,1.9,1.3,0.3,21.8,23.4,54.1,45.3,4.7,-0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lance Allred,2008,2008,1,C,6-11,6.916666666666667,250.0,3,1.0,0.3,0.0,25.0,14.2,50.0,25.0,-1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Darrell Allums,1981,1981,1,F,6-9,6.75,220.0,22,2.7,3.0,1.1,34.3,0.0,59.1,34.3,5.3,-0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Morris Almond,2008,2012,5,G,6-6,6.5,225.0,38,3.1,1.2,0.3,38.1,29.2,74.3,41.2,7.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Derrick Alston,1995,1997,3,F,6-11,6.916666666666667,225.0,139,5.4,3.8,0.7,48.9,14.3,48.7,49.0,11.7,2.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rafer Alston,2000,2010,11,G,6-2,6.166666666666667,171.0,671,10.1,2.8,4.8,38.3,35.4,72.9,46.1,13.2,32.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Peter Aluma,1999,1999,1,C,6-10,6.833333333333333,260.0,2,1.0,1.0,0.0,50.0,14.2,62.5,50.0,3.1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jose Alvarado,2022,2022,1,G,6-0,6.0,179.0,54,6.1,1.9,2.8,44.6,29.1,67.9,50.0,16.4,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
John Amaechi,1996,2003,8,F-C,6-10,6.833333333333333,270.0,294,6.2,2.6,0.8,40.3,7.7,67.1,40.3,8.9,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashraf Amaya,1996,1997,2,F,6-8,6.666666666666667,230.0,85,4.5,4.2,0.4,45.5,50.0,63.3,45.7,11.5,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Al-Farouq Aminu,2011,2021,11,F,6-8,6.666666666666667,220.0,711,7.5,6.0,1.2,42.0,33.2,74.6,47.8,12.2,27.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lou Amundson,2007,2016,10,F-C,6-9,6.75,220.0,428,3.7,3.6,0.4,47.4,0.0,44.4,47.4,12.0,6.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bob Anderegg,1960,1960,1,G-F,6-3,6.25,200.0,33,4.0,2.1,0.9,38.5,28.6,54.8,47.1,9.3,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chris Andersen,2002,2017,16,F-C,6-10,6.833333333333333,245.0,695,5.4,5.0,0.5,53.2,22.1,65.4,53.5,16.7,39.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
David Andersen,2010,2011,2,C,6-11,6.916666666666667,245.0,103,4.9,2.8,0.6,44.0,34.7,67.4,47.8,11.7,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alan Anderson,2006,2017,12,G-F,6-6,6.5,220.0,330,7.3,2.2,1.1,40.5,34.4,81.6,48.4,10.3,7.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andrew Anderson,1968,1970,3,G,6-2,6.166666666666667,184.0,194,10.7,2.7,1.7,41.0,15.9,75.5,41.3,10.9,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antonio Anderson,2010,2010,1,G,6-6,6.5,215.0,1,2.0,1.0,0.0,33.3,27.9,73.7,33.3,-1.7,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cliff Anderson,1968,1971,4,G-F,6-2,6.166666666666667,200.0,84,3.0,1.3,0.9,35.4,28.6,58.5,35.4,10.6,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dan Anderson,1968,1969,2,C,6-10,6.833333333333333,230.0,140,12.2,9.4,1.1,48.1,14.2,72.7,48.1,17.5,10.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dan Anderson,1975,1976,2,G,6-2,6.166666666666667,185.0,95,3.7,1.0,1.7,47.2,27.9,84.6,44.1,12.3,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Derek Anderson,1998,2008,11,G,6-5,6.416666666666667,194.0,615,12.0,3.2,3.4,40.8,34.1,85.3,46.3,15.3,43.9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Dwight Anderson,1983,1983,1,G,6-3,6.25,185.0,5,4.2,0.4,0.6,50.0,27.9,70.0,50.0,10.6,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eric Anderson,1993,1994,2,F,6-9,6.75,220.0,27,1.6,1.1,0.2,34.3,100.0,59.3,37.1,13.1,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Greg Anderson,1988,1998,11,F-C,6-10,6.833333333333333,230.0,680,7.3,6.2,0.6,49.2,8.7,55.7,49.2,13.0,18.7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
J.J. Anderson,1983,1985,3,F,6-8,6.666666666666667,195.0,157,4.8,2.8,0.7,46.5,0.0,55.8,46.5,12.1,2.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
James Anderson,2011,2016,6,G-F,6-6,6.5,213.0,247,5.8,2.3,1.2,41.1,32.1,75.5,48.8,9.9,3.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jerome Anderson,1976,1977,2,G,6-5,6.416666666666667,195.0,49,2.6,0.5,0.3,49.0,27.9,69.4,44.1,11.4,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Justin Anderson,2016,2022,7,G,6-6,6.5,230.0,242,5.3,2.6,0.8,41.0,29.2,77.5,48.2,12.4,4.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kenny Anderson,1992,2005,14,G,6-0,6.0,168.0,858,12.6,3.1,6.1,42.1,34.6,79.0,44.9,16.4,62.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kim Anderson,1979,1979,1,F,6-7,6.583333333333333,200.0,21,3.0,2.1,0.7,31.2,23.4,53.6,45.3,3.0,-0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kyle Anderson,2015,2022,8,G-F,6-9,6.75,230.0,505,6.7,4.4,2.3,47.6,33.4,71.1,51.5,14.2,27.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Michael Anderson,1989,1989,1,G,5-11,5.916666666666667,184.0,36,5.7,2.5,4.3,41.7,14.3,69.5,42.0,10.5,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nick Anderson,1990,2002,13,G-F,6-6,6.5,205.0,800,14.4,5.1,2.6,44.6,35.6,66.7,50.0,15.8,55.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Richard Anderson,1983,1990,8,F-C,6-10,6.833333333333333,240.0,407,5.6,3.5,1.5,41.2,33.3,76.2,44.6,12.3,7.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ron Anderson,1985,1994,10,G-F,6-7,6.583333333333333,215.0,664,10.6,3.5,1.4,47.1,28.7,81.4,47.9,14.3,24.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ryan Anderson,2009,2020,12,F,6-9,6.75,240.0,649,12.3,5.3,0.9,42.2,38.0,85.4,52.3,16.5,46.7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Shandon Anderson,1997,2006,10,G-F,6-6,6.5,208.0,719,7.4,3.1,1.4,45.7,31.6,73.9,49.2,11.7,23.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Willie Anderson,1989,1997,9,G-F,6-7,6.583333333333333,190.0,555,12.2,3.8,3.8,47.1,26.6,78.6,47.9,13.8,27.9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wally Anderzunas,1970,1970,1,F-C,6-7,6.583333333333333,220.0,44,3.6,1.9,0.2,39.2,17.7,63.0,48.4,8.8,-0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Martynas Andriuškevičius,2006,2006,1,C,7-2,7.166666666666667,240.0,6,0.0,0.7,0.0,0.0,14.2,62.5,0.0,15.5,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Don Anielak,1955,1955,1,F,6-7,6.583333333333333,190.0,1,3.0,2.0,0.0,0.0,23.4,75.0,45.3,1.8,-0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ike Anigbogu,2018,2019,2,F-C,6-10,6.833333333333333,250.0,14,0.9,0.9,0.1,33.3,17.7,83.3,33.3,17.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Michael Ansley,1990,1992,3,F,6-7,6.583333333333333,225.0,149,6.9,4.2,0.4,51.3,23.4,72.2,51.3,17.0,6.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chris Anstey,1998,2000,3,C,7-0,7.0,249.0,155,5.2,3.4,0.8,41.3,13.8,75.5,41.6,13.2,2.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Giannis Antetokounmpo,2014,2022,9,G-F,6-11,6.916666666666667,242.0,656,21.8,9.4,4.6,53.5,28.8,71.8,55.8,24.5,87.5,6,6,0,1,5,0,0,0,0,0,1,0,1,0,1,0,1,2,1,1,0
Kostas Antetokounmpo,2019,2021,3,F,6-10,6.833333333333333,200.0,22,1.0,1.0,0.1,37.5,23.4,47.4,37.5,3.6,-0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Thanasis Antetokounmpo,2016,2022,7,F,6-6,6.5,219.0,127,3.1,2.0,0.7,51.7,16.7,54.5,53.2,11.5,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Carmelo Anthony,2004,2022,19,F,6-7,6.583333333333333,238.0,1260,22.5,6.2,2.7,44.7,35.5,81.4,48.5,19.5,108.5,10,6,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
